Question_ID,Question_Version,Level,Topic_Code,LO_ID,Question_Text,Option_A,Option_B,Option_C,Option_D,Correct_Option,Answer_Explanation,Probe_Type,TLG_Key_Idea_Ref,Alternative_Conception_Ref,Diagnostic_Use,Review_Status,Source_Note,Teacher_Notes,Times_Used,Last_Used,Created_Date,Approved_Date,Approved_By
P3_DIV_LNL_C01_Q01,2,P3,P3-DIV-LNL,P3-DIV-LNL-C01,Which statement describes a characteristic shared by living things?,Living things grow and reproduce.,Living things always move from place to place.,Living things can survive without air.,Living things never respond to changes around them.,A,"Living things need water, food and air, and they grow, respond and reproduce.",Direct concept,,,Topic,Approved,"Assessment-focused rebuild aligned to official LO_ID and scope notes in the P3–P6 Standard Science Curriculum Mastery Map. Standard Bank v1: audited against the MOE Primary Science Syllabus and uploaded TLGs for curriculum scope, age-appropriate language and diagnostic quality. Standard Bank v1: MOE age/scope audit 2026-09-05.",,0,,2026-09-01,2026-09-05,Sci Diagnostic MOE Scope & Language Audit
P3_DIV_LNL_C01_Q02,2,P3,P3-DIV-LNL,P3-DIV-LNL-C01,A potted plant bends towards a window over several days. Which characteristic of living things does this best show?,Living things reproduce.,Living things respond to changes in their surroundings.,Living things need food only at night.,Living things always move from place to place.,B,The plant changes its growth direction in response to light.,Application,,,Pre-WA,Approved,"Assessment-focused rebuild aligned to official LO_ID and scope notes in the P3–P6 Standard Science Curriculum Mastery Map. Standard Bank v1: audited against the MOE Primary Science Syllabus and uploaded TLGs for curriculum scope, age-appropriate language and diagnostic quality. Standard Bank v1: MOE age/scope audit 2026-09-05.",,0,,2026-09-01,2026-09-05,Sci Diagnostic MOE Scope & Language Audit
P3_DIV_LNL_C01_Q03,2,P3,P3-DIV-LNL,P3-DIV-LNL-C01,A battery-powered toy car moves and turns when it reaches a wall. Why is it still non-living?,Anything that moves is living.,It is non-living only because it is made of plastic.,"It does not carry out all the characteristics of living things, such as growing and reproducing.",It becomes living when a battery is inserted.,C,Movement alone is not enough; living things show the full set of life characteristics.,Misconception probe,,,EOY,Approved,"Assessment-focused rebuild aligned to official LO_ID and scope notes in the P3–P6 Standard Science Curriculum Mastery Map. Standard Bank v1: audited against the MOE Primary Science Syllabus and uploaded TLGs for curriculum scope, age-appropriate language and diagnostic quality. Standard Bank v1: MOE age/scope audit 2026-09-05.",,0,,2026-09-01,2026-09-05,Sci Diagnostic MOE Scope & Language Audit
P3_DIV_LNL_C01_Q04,3,P3,P3-DIV-LNL,P3-DIV-LNL-C01,"Two seedlings are alike except that one is not given water. After several days, it wilts. What does this show?",Only animals need water.,Plants obtain all the water they need from air.,Water is needed only for reproduction.,Living things need water to survive.,D,The seedling without water wilted. This shows that living things need water to survive.,Application,,,Any,Approved,"Assessment-focused rebuild aligned to official LO_ID and scope notes in the P3–P6 Standard Science Curriculum Mastery Map. Standard Bank v1: audited against the MOE Primary Science Syllabus and uploaded TLGs for curriculum scope, age-appropriate language and diagnostic quality. Standard Bank v1: MOE age/scope audit 2026-09-05.",,0,,2026-09-01,2026-09-05,Sci Diagnostic MOE Scope & Language Audit
P3_DIV_LNL_C02_Q01,3,P3,P3-DIV-LNL,P3-DIV-LNL-C02,Which set contains only groups of animals?,"Birds, insects, mammals and reptiles","Mushrooms, birds, fish and bacteria","Flowering plants, insects, mould and mammals","Yeast, bacteria, fish and ferns",A,"Birds, insects, mammals and reptiles are all broad animal groups in the P3 syllabus.",Direct concept,,,Topic,Approved,"Assessment-focused rebuild aligned to official LO_ID and scope notes in the P3–P6 Standard Science Curriculum Mastery Map. Standard Bank v1: audited against the MOE Primary Science Syllabus and uploaded TLGs for curriculum scope, age-appropriate language and diagnostic quality. Standard Bank v1: MOE age/scope audit 2026-09-05.",,0,,2026-09-01,2026-09-05,Sci Diagnostic MOE Scope & Language Audit
P3_DIV_LNL_C02_Q02,2,P3,P3-DIV-LNL,P3-DIV-LNL-C02,An animal has six legs and a body divided into three main parts. Which broad group should it be placed in?,Birds,Insects,Mammals,Reptiles,B,Six legs and three main body parts are observable characteristics used to classify insects.,Application,,,Pre-WA,Approved,"Assessment-focused rebuild aligned to official LO_ID and scope notes in the P3–P6 Standard Science Curriculum Mastery Map. Standard Bank v1: audited against the MOE Primary Science Syllabus and uploaded TLGs for curriculum scope, age-appropriate language and diagnostic quality. Standard Bank v1: MOE age/scope audit 2026-09-05.",,0,,2026-09-01,2026-09-05,Sci Diagnostic MOE Scope & Language Audit
P3_DIV_LNL_C02_Q03,3,P3,P3-DIV-LNL,P3-DIV-LNL-C02,A whale lives in water. A pupil says it must therefore be a fish. Which is the best response?,Any animal in water is a fish.,"All large animals are mammals, so no other feature matters.",Living place alone is not enough; several observable characteristics should be compared before classifying it.,Animals cannot be classified unless their exact name is known.,C,"Living things are classified using observable similarities and differences, not just one feature.",Misconception probe,,,EOY,Approved,"Assessment-focused rebuild aligned to official LO_ID and scope notes in the P3–P6 Standard Science Curriculum Mastery Map. Standard Bank v1: audited against the MOE Primary Science Syllabus and uploaded TLGs for curriculum scope, age-appropriate language and diagnostic quality. Standard Bank v1: MOE age/scope audit 2026-09-05.",,0,,2026-09-01,2026-09-05,Sci Diagnostic MOE Scope & Language Audit
P3_DIV_LNL_C02_Q04,2,P3,P3-DIV-LNL,P3-DIV-LNL-C02,Which pair belongs to the same broad group of living things?,Fern and yeast,Bacterium and bird,Fish and flowering plant,Mushroom and mould,D,Mushrooms and mould are both fungi.,Application,,,Any,Approved,"Assessment-focused rebuild aligned to official LO_ID and scope notes in the P3–P6 Standard Science Curriculum Mastery Map. Standard Bank v1: audited against the MOE Primary Science Syllabus and uploaded TLGs for curriculum scope, age-appropriate language and diagnostic quality. Standard Bank v1: MOE age/scope audit 2026-09-05.",,0,,2026-09-01,2026-09-05,Sci Diagnostic MOE Scope & Language Audit
P3_DIV_LNL_P01_Q01,3,P3,P3-DIV-LNL,P3-DIV-LNL-P01,"A pupil observes a green seedling, a dry twig, a stone and a snail. Which observation would best help the pupil tell living and non-living things apart over time?",Check whether each grows or responds to changes.,Check whether each is larger than 5 cm.,Check whether each is green.,Check whether each can be held in one hand.,A,Growth and response are characteristics of living things and can be observed over time.,Application,,,Topic,Approved,"Assessment-focused rebuild aligned to official LO_ID and scope notes in the P3–P6 Standard Science Curriculum Mastery Map. Standard Bank v1: audited against the MOE Primary Science Syllabus and uploaded TLGs for curriculum scope, age-appropriate language and diagnostic quality. Standard Bank v1: MOE age/scope audit 2026-09-05.",,0,,2026-09-01,2026-09-05,Sci Diagnostic MOE Scope & Language Audit
P3_DIV_LNL_P01_Q02,3,P3,P3-DIV-LNL,P3-DIV-LNL-P01,Water beads become larger after being soaked in water. What can the pupil conclude?,Anything that becomes larger is living.,Becoming larger alone does not prove that they are living.,They must be plants because they absorbed water.,They are living only while they are in water.,B,Becoming larger by itself does not show that something is living. Living things have a set of characteristics.,Misconception probe,,,Pre-WA,Approved,"Assessment-focused rebuild aligned to official LO_ID and scope notes in the P3–P6 Standard Science Curriculum Mastery Map. Standard Bank v1: audited against the MOE Primary Science Syllabus and uploaded TLGs for curriculum scope, age-appropriate language and diagnostic quality. Standard Bank v1: MOE age/scope audit 2026-09-05.",,0,,2026-09-01,2026-09-05,Sci Diagnostic MOE Scope & Language Audit
